id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
4524,825,Visa,Debit,4.34468E+15,2022-12-01,623,YES,2,24295,2002-09-01,2008
2731,825,Visa,Debit,4.95697E+15,2020-12-01,393,YES,2,21968,2014-04-01,2014
3701,825,Visa,Debit,4.58231E+15,2024-02-01,719,YES,2,46414,2003-07-01,2004
42,825,Visa,Credit,4.87949E+15,2024-08-01,693,NO,1,12400,2003-01-01,2012
4659,825,Mastercard,Debit (Prepaid),5.72287E+15,2009-03-01,75,YES,1,28,2008-09-01,2009
4537,1746,Visa,Credit,4.4049E+15,2003-09-01,736,YES,1,27500,2003-09-01,2012
1278,1746,Visa,Debit,4.00148E+15,2022-07-01,972,YES,2,28508,2011-02-01,2011
3687,1746,Mastercard,Debit,5.62722E+15,2022-06-01,48,YES,2,9022,2003-07-01,2015
3465,1746,Mastercard,Debit (Prepaid),5.71138E+15,2020-11-01,722,YES,2,54,2010-06-01,2015
3754,1746,Mastercard,Debit (Prepaid),5.76612E+15,2023-02-01,908,YES,1,99,2006-07-01,2012
5144,1718,Mastercard,Debit,5.4952E+15,2022-03-01,677,YES,2,31599,2009-10-01,2009
2029,1718,Mastercard,Debit,5.8045E+15,2023-07-01,258,NO,2,27480,2002-03-01,2008
2379,1718,Mastercard,Debit,5.76635E+15,2020-02-01,992,YES,1,26743,2019-03-01,2019
2732,1718,Visa,Debit,4.24202E+15,2020-06-01,928,YES,1,31463,2014-04-01,2014
4706,1718,Mastercard,Debit,5.19103E+15,2024-06-01,360,YES,1,16055,2009-09-01,2009
281,708,Visa,Credit,4.01726E+15,2015-05-01,877,YES,2,98100,2011-01-01,2011
1106,708,Mastercard,Debit (Prepaid),5.58197E+15,2020-06-01,448,YES,1,62,2007-02-01,2007
5621,708,Visa,Debit,4.03224E+15,2022-06-01,53,YES,1,132439,2010-11-01,2011
5165,708,Visa,Debit,4.93597E+15,2020-06-01,649,YES,1,125723,2009-10-01,2010
5757,1164,Mastercard,Debit,5.90503E+15,2022-01-01,886,YES,1,34900,1999-12-01,2012
27,68,Visa,Credit,4.09962E+15,2021-09-01,74,YES,2,9900,2002-01-01,2019
4648,68,Visa,Debit,4.2812E+15,2013-07-01,865,YES,2,21587,2007-09-01,2007
5435,68,Visa,Credit,4.41146E+15,2022-11-01,922,YES,2,15800,2005-11-01,2011
3287,1075,Mastercard,Debit,5.20248E+15,2022-04-01,861,YES,1,29964,2005-06-01,2014
4761,1075,Mastercard,Credit,5.08977E+15,2023-07-01,686,YES,2,11200,2010-09-01,2010
5286,1075,Mastercard,Debit,5.76734E+15,2021-12-01,669,NO,2,26753,2014-10-01,2014
744,1711,Visa,Debit,4.59583E+15,2023-05-01,689,NO,2,17480,2020-01-01,2020
5559,1116,Mastercard,Debit,5.34105E+15,2021-09-01,396,YES,2,26546,2009-11-01,2009
4905,1116,Mastercard,Debit,5.66883E+15,2021-01-01,356,YES,1,23253,2017-09-01,2017
79,1116,Visa,Credit,4.40006E+15,2021-02-01,497,YES,1,16100,2005-01-01,2014
301,1116,Visa,Credit,4.80855E+15,2021-02-01,921,YES,2,8700,2012-01-01,2012
3115,1116,Mastercard,Debit,5.22474E+15,2019-01-01,922,YES,1,29333,2012-05-01,2012
3880,1752,Mastercard,Debit,5.29418E+15,2024-07-01,265,YES,2,9496,2009-07-01,2012
1766,192,Visa,Debit,4.8578E+15,2021-07-01,930,YES,1,25499,2020-02-01,2020
1767,192,Visa,Debit,4.32406E+15,2020-02-01,358,YES,1,18641,2020-02-01,2020
745,640,Visa,Debit,4.85264E+15,2023-05-01,995,YES,1,26019,2020-01-01,2020
1459,1679,Mastercard,Debit,5.65638E+15,2021-01-01,547,YES,1,25845,2020-02-01,2020
138,1094,Visa,Debit,4.55693E+15,2023-06-01,64,YES,2,2365,2007-01-01,2009
3755,1094,Mastercard,Debit,5.51578E+15,2023-06-01,419,YES,2,18684,2006-07-01,2017
1768,1094,Visa,Credit,4.50839E+15,2021-02-01,364,NO,2,7400,2020-02-01,2020
5924,1590,Mastercard,Debit,5.54827E+15,2024-12-01,145,YES,2,4147,2008-12-01,2016
6074,1660,Visa,Debit (Prepaid),4.98627E+15,2022-04-01,385,YES,1,76,2012-12-01,2012
5923,1660,Discover,Credit,6.72606E+15,2009-01-01,105,NO,1,4700,2008-12-01,2014
4223,1660,Visa,Credit,4.15711E+15,2021-06-01,433,YES,2,5800,2007-08-01,2011
4455,1660,Mastercard,Debit,5.23146E+15,2024-03-01,754,YES,2,12082,2016-08-01,2016
3234,1660,Mastercard,Credit,5.07484E+15,2023-03-01,741,NO,2,6000,2002-06-01,2010
1005,1660,Visa,Debit,4.98637E+15,2009-11-01,367,YES,1,620,2002-02-01,2014
151,1747,Mastercard,Debit,5.89201E+15,2022-08-01,879,YES,1,14499,2008-01-01,2008
4198,1747,Mastercard,Debit,5.17916E+15,2023-07-01,457,YES,2,12332,2007-08-01,2009
4403,1747,Mastercard,Debit,5.56964E+15,2024-09-01,904,YES,1,18424,2013-08-01,2013
4120,1747,Visa,Credit,4.70891E+15,2023-07-01,149,NO,1,15400,2003-08-01,2008
4224,1747,Visa,Debit,4.79572E+15,2022-02-01,136,YES,2,14548,2007-08-01,2013
4895,1747,Mastercard,Credit,5.30016E+15,2016-12-01,740,YES,2,10100,2016-09-01,2016
1028,153,Discover,Credit,6.58024E+15,2011-04-01,416,YES,1,11200,2004-02-01,2008
5956,153,Mastercard,Debit,5.03246E+15,2024-10-01,240,YES,2,20291,2009-12-01,2011
107,153,Visa,Debit,4.38232E+15,2018-08-01,852,YES,1,32092,2006-01-01,2010
440,153,Mastercard,Debit,5.45681E+15,2020-02-01,217,YES,1,20463,2020-01-01,2020
746,429,Visa,Debit,4.46536E+15,2022-08-01,738,YES,1,15802,2020-01-01,2020
1769,429,Visa,Debit,4.66845E+15,2020-02-01,314,NO,2,4612,2020-02-01,2020
421,429,Discover,Credit,6.3776E+15,2020-07-01,675,YES,2,19900,2020-01-01,2020
974,511,Mastercard,Debit (Prepaid),5.11709E+15,2020-10-01,42,YES,1,73,2000-02-01,2012
4707,511,Mastercard,Debit,5.37786E+15,2024-01-01,24,YES,1,11858,2009-09-01,2010
7,511,Mastercard,Debit,5.58524E+15,2005-03-01,749,YES,1,9664,1998-01-01,2011
2212,511,Mastercard,Debit,5.35528E+15,2020-06-01,810,YES,1,8367,2009-03-01,2009
1038,511,Visa,Credit,4.15009E+15,2022-06-01,135,YES,2,6100,2004-02-01,2009
1460,309,Mastercard,Debit,5.9793E+15,2020-02-01,630,YES,3,9944,2020-02-01,2020
747,309,Visa,Credit,4.47364E+15,2020-01-01,771,YES,1,7900,2020-01-01,2020
1770,309,Visa,Credit,4.80012E+15,2020-12-01,201,YES,1,5600,2020-02-01,2020
748,777,Visa,Debit,4.83233E+15,2023-08-01,580,YES,1,68400,2020-01-01,2020
441,777,Mastercard,Debit,5.27808E+15,2023-04-01,437,YES,2,77237,2020-01-01,2020
3679,1946,Visa,Debit,4.86985E+15,2024-08-01,701,YES,2,4488,2002-07-01,2015
5701,1946,Visa,Credit,4.23153E+15,2020-02-01,499,YES,2,12500,2014-11-01,2014
4510,1674,Mastercard,Debit,5.81361E+15,2020-12-01,734,YES,2,23432,2001-09-01,2008
2873,1674,Amex,Credit,3.66521E+14,2022-05-01,447,YES,2,8800,2005-05-01,2011
1461,482,Mastercard,Credit,5.3927E+15,2020-02-01,886,YES,2,12100,2020-02-01,2020
442,877,Mastercard,Debit,5.04815E+15,2020-02-01,931,YES,1,9708,2020-01-01,2020
3877,877,Amex,Credit,3.71643E+14,2021-11-01,683,YES,2,12000,2009-07-01,2011
2296,877,Mastercard,Debit,5.70073E+15,2023-11-01,230,YES,1,11973,2012-03-01,2012
5048,128,Mastercard,Debit,5.38944E+15,2022-02-01,658,YES,2,13601,2006-10-01,2014
1462,128,Mastercard,Credit,5.07912E+15,2024-01-01,849,YES,2,7800,2020-02-01,2020
4269,775,Visa,Debit,4.39043E+15,2023-10-01,790,YES,2,17816,2008-08-01,2016
5188,1536,Mastercard,Debit,5.21757E+15,2021-03-01,625,NO,2,17707,2010-10-01,2010
2874,1536,Amex,Credit,3.97857E+14,2020-11-01,2,YES,1,9500,2005-05-01,2009
3041,140,Mastercard,Debit,5.52918E+15,2022-01-01,182,YES,1,19110,2010-05-01,2011
5312,140,Mastercard,Debit,5.48902E+15,2023-08-01,196,YES,1,13428,2016-10-01,2016
4150,140,Mastercard,Debit,5.79368E+15,2022-06-01,43,YES,1,24608,2005-08-01,2009
152,140,Mastercard,Debit,5.84537E+15,2022-09-01,111,YES,1,13441,2008-01-01,2011
443,1884,Mastercard,Debit (Prepaid),5.75029E+15,2020-02-01,788,YES,2,74,2020-01-01,2020
3377,1874,Mastercard,Debit,5.42979E+15,2012-10-01,674,YES,1,17872,2008-06-01,2008
5789,1874,Mastercard,Credit,5.30111E+15,2022-09-01,425,YES,1,12900,2003-12-01,2010
2106,1874,Mastercard,Debit,5.5711E+15,2024-05-01,52,YES,2,25264,2006-03-01,2020
2078,1874,Mastercard,Debit,5.40195E+15,2022-12-01,920,YES,2,20634,2005-03-01,2007
5866,1310,Visa,Credit,4.29536E+15,2007-04-01,656,YES,2,12200,2006-12-01,2010
173,1310,Visa,Credit,4.73748E+15,2010-02-01,221,YES,2,5500,2008-01-01,2008
1771,1689,Visa,Credit,4.50937E+15,2020-03-01,281,NO,2,6600,2020-02-01,2020
6132,1689,Mastercard,Debit,5.06826E+15,2020-11-01,890,YES,1,25815,2017-12-01,2017
327,379,Amex,Credit,3.54813E+14,2021-06-01,527,YES,2,8400,2014-01-01,2014
2019,379,Mastercard,Debit,5.91093E+15,2020-02-01,525,YES,1,21628,2001-03-01,2008
3881,379,Mastercard,Debit,5.40018E+15,2021-10-01,412,YES,1,24232,2009-07-01,2009
1166,34,Mastercard,Debit,5.03905E+15,2023-11-01,339,YES,2,10775,2009-02-01,2010
3342,34,Mastercard,Debit (Prepaid),5.67201E+15,2020-02-01,598,YES,2,105,2007-06-01,2013
5622,822,Visa,Credit,4.33673E+15,2021-01-01,221,NO,2,7100,2010-11-01,2010
5424,822,Mastercard,Debit,5.98558E+15,2024-07-01,951,YES,1,29351,2005-11-01,2007
2558,822,Mastercard,Debit,5.28106E+15,2020-03-01,835,YES,2,15125,2008-04-01,2012
5385,822,Mastercard,Credit,5.61566E+15,2021-11-01,865,YES,2,8000,2003-11-01,2008
5596,822,Mastercard,Debit (Prepaid),5.31488E+15,2011-05-01,994,YES,1,83,2010-11-01,2010
3991,1499,Amex,Credit,3.11095E+14,2024-01-01,536,YES,2,23700,2012-07-01,2012
6126,1780,Visa,Credit,4.62475E+15,2024-02-01,986,YES,2,700,2016-12-01,2016
3756,1806,Mastercard,Debit,5.59556E+15,2024-07-01,594,YES,2,7488,2006-07-01,2016
971,811,Visa,Credit,4.17102E+15,2002-01-01,225,NO,1,24900,1999-02-01,2010
2079,811,Mastercard,Debit,5.24634E+15,2021-06-01,638,YES,2,30971,2005-03-01,2020
387,811,Amex,Credit,3.99966E+14,2024-01-01,343,YES,1,24400,2020-01-01,2020
444,811,Mastercard,Debit,5.06414E+15,2020-02-01,599,YES,2,53549,2020-01-01,2020
5277,811,Visa,Debit,4.90554E+15,2018-09-01,573,YES,1,53036,2013-10-01,2013
4358,811,Mastercard,Debit,5.70385E+15,2024-12-01,300,YES,1,35750,2011-08-01,2011
2318,811,Visa,Debit,4.0554E+15,2021-07-01,902,YES,1,33375,2013-03-01,2013
6019,1844,Visa,Debit (Prepaid),4.58748E+15,2023-07-01,858,YES,2,22,2010-12-01,2010
4421,1844,Discover,Credit,6.52143E+15,2020-11-01,608,YES,1,13100,2014-08-01,2014
3702,1844,Visa,Debit,4.19971E+15,2024-10-01,440,YES,1,16516,2003-07-01,2011
2854,1844,Mastercard,Credit,5.17274E+15,2016-07-01,906,YES,1,15700,2004-05-01,2011
4114,1844,Mastercard,Debit,5.21464E+15,2024-05-01,474,YES,1,21058,2003-08-01,2007
28,1852,Visa,Debit,4.01388E+15,2023-10-01,543,YES,2,36425,2002-01-01,2004
6127,1852,Visa,Debit (Prepaid),4.96605E+15,2021-03-01,585,YES,2,91,2016-12-01,2016
2477,1852,Mastercard,Credit,5.24758E+15,2021-09-01,379,YES,1,13400,2005-04-01,2014
2632,1852,Mastercard,Credit,5.91132E+15,2021-04-01,37,YES,2,21600,2010-04-01,2010
1463,1231,Mastercard,Debit,5.05877E+15,2020-02-01,12,NO,1,9090,2020-02-01,2020
5679,970,Visa,Debit,4.68288E+15,2023-02-01,846,NO,1,25942,2012-11-01,2012
1012,970,Mastercard,Credit,5.88284E+15,2019-07-01,614,YES,2,10700,2003-02-01,2013
1464,970,Mastercard,Credit,5.63715E+15,2022-07-01,630,YES,2,4900,2020-02-01,2020
1465,381,Mastercard,Credit,5.1157E+15,2022-04-01,587,NO,1,18100,2020-02-01,2020
388,1134,Amex,Credit,3.2464E+14,2024-03-01,659,YES,2,7200,2020-01-01,2020
3708,1296,Mastercard,Debit,5.03343E+15,2020-02-01,546,YES,2,22660,2004-07-01,2007
3087,1296,Discover,Credit,6.96995E+15,2022-12-01,588,YES,1,19800,2011-05-01,2011
67,1296,Mastercard,Credit,5.18123E+15,2024-11-01,820,YES,2,15500,2005-01-01,2014
80,1296,Visa,Debit (Prepaid),4.31069E+15,2023-06-01,458,YES,1,13,2005-01-01,2008
3665,1296,Mastercard,Debit,5.05107E+15,2021-06-01,526,YES,2,4317,2001-07-01,2011
2014,1880,Mastercard,Debit,5.45692E+15,2021-12-01,553,NO,1,14719,2000-03-01,2008
4906,1880,Mastercard,Debit,5.13266E+15,2021-05-01,593,YES,1,9532,2017-09-01,2017
3757,1880,Mastercard,Credit,5.75287E+15,2020-03-01,486,YES,1,10900,2006-07-01,2014
5365,322,Mastercard,Credit,5.49423E+15,2024-09-01,428,YES,2,6200,2001-11-01,2012
5425,322,Mastercard,Debit,5.78964E+15,2012-12-01,43,YES,2,2903,2005-11-01,2011
5758,322,Mastercard,Debit,5.39296E+15,2020-10-01,803,YES,2,4355,1999-12-01,2010
5482,461,Mastercard,Debit,5.18282E+15,2021-04-01,126,YES,1,28963,2007-11-01,2012
3172,461,Mastercard,Debit,5.10235E+15,2022-12-01,667,YES,2,20913,2016-05-01,2016
1209,461,Mastercard,Debit,5.03314E+15,2024-07-01,170,YES,1,23344,2010-02-01,2010
5313,461,Mastercard,Debit,5.61152E+15,2020-01-01,882,YES,2,33642,2016-10-01,2016
4762,1165,Mastercard,Debit,5.0374E+15,2022-01-01,681,YES,1,14695,2010-09-01,2011
126,1448,Mastercard,Credit,5.57136E+15,2023-09-01,510,YES,1,13200,2007-01-01,2015
4685,1448,Visa,Debit,4.08303E+15,2020-01-01,173,YES,1,29950,2008-09-01,2013
5907,1448,Visa,Credit,4.82992E+15,2024-07-01,768,YES,2,4600,2007-12-01,2011
2428,1288,Mastercard,Debit,5.45849E+15,2022-12-01,92,YES,1,10051,2002-04-01,2011
1013,1288,Mastercard,Debit,5.87909E+15,2015-12-01,729,YES,2,9796,2003-02-01,2013
5145,1178,Mastercard,Debit,5.76944E+15,2021-10-01,957,YES,1,17826,2009-10-01,2009
5854,1178,Mastercard,Debit,5.5888E+15,2024-11-01,778,YES,1,19086,2006-12-01,2009
5296,1178,Visa,Debit,4.41069E+15,2024-06-01,265,YES,2,17345,2014-10-01,2014
1327,1178,Visa,Debit,4.47082E+15,2020-09-01,923,YES,2,17976,2013-02-01,2013
383,1178,Visa,Debit,4.80434E+15,2022-01-01,279,YES,2,16447,2019-01-01,2019
5129,1391,Visa,Debit,4.19436E+15,2024-10-01,271,YES,2,29573,2008-10-01,2009
5995,1391,Mastercard,Debit (Prepaid),5.43647E+15,2021-12-01,48,YES,2,98,2010-12-01,2010
4107,1391,Mastercard,Debit,5.64887E+15,2019-08-01,71,YES,2,2559,2002-08-01,2012
36,1391,Mastercard,Debit,5.91424E+15,2012-10-01,436,YES,2,6552,2003-01-01,2010
445,838,Mastercard,Credit,5.19378E+15,2021-01-01,591,YES,2,13800,2020-01-01,2020
1466,54,Mastercard,Debit,5.95793E+15,2020-08-01,746,YES,1,16375,2020-02-01,2020
749,54,Visa,Debit,4.55706E+15,2023-05-01,780,YES,1,14213,2020-01-01,2020
1772,54,Visa,Debit (Prepaid),4.88322E+15,2020-09-01,2,YES,1,73,2020-02-01,2020
3801,1452,Mastercard,Debit,5.47641E+15,2022-11-01,688,YES,2,53466,2007-07-01,2013
282,1602,Visa,Credit,4.69894E+15,2020-09-01,450,YES,1,6600,2011-01-01,2013
6105,1602,Mastercard,Credit,5.57915E+15,2022-06-01,806,NO,2,7200,2015-12-01,2015
446,1938,Mastercard,Debit,5.09961E+15,2020-11-01,856,YES,1,2868,2020-01-01,2020
422,1938,Discover,Credit,6.1775E+15,2024-05-01,97,YES,1,3400,2020-01-01,2020
5231,1492,Mastercard,Debit,5.18813E+15,2022-01-01,446,YES,1,12915,2011-10-01,2013
2615,1492,Visa,Debit (Prepaid),4.86032E+15,2023-12-01,366,YES,2,84,2009-04-01,2017
2776,1492,Discover,Credit,6.4176E+15,2021-07-01,504,YES,2,17600,2018-04-01,2018
5452,1492,Mastercard,Debit,5.51672E+15,2012-12-01,621,YES,1,31542,2006-11-01,2009
3563,1492,Mastercard,Debit,5.89105E+15,2022-02-01,362,YES,2,23049,2013-06-01,2013
6134,1492,Visa,Debit,4.22257E+15,2020-05-01,141,YES,1,29734,2017-12-01,2017
4818,1492,Visa,Credit,4.45374E+15,2020-01-01,346,YES,2,27000,2011-09-01,2016
2171,1492,Mastercard,Debit (Prepaid),5.33598E+15,2022-11-01,320,YES,1,18,2008-03-01,2010
6106,688,Mastercard,Debit,5.70815E+15,2023-04-01,824,YES,1,17848,2015-12-01,2015
3042,688,Mastercard,Debit,5.23868E+15,2022-11-01,870,NO,1,25563,2010-05-01,2010
5209,688,Visa,Credit,4.74088E+15,2020-04-01,168,YES,2,12000,2010-10-01,2010
1296,688,Amex,Credit,3.61649E+14,2018-11-01,709,NO,2,6600,2012-02-01,2012
389,749,Amex,Credit,3.63306E+14,2023-09-01,943,NO,1,5600,2020-01-01,2020
1773,749,Visa,Debit,4.36086E+15,2022-11-01,428,YES,3,11873,2020-02-01,2020
1467,749,Mastercard,Credit,5.49802E+15,2020-02-01,871,YES,1,7200,2020-02-01,2020
1395,643,Amex,Credit,3.81573E+14,2024-08-01,145,YES,1,10000,2020-02-01,2020
5597,643,Mastercard,Credit,5.0793E+15,2023-04-01,381,YES,2,500,2010-11-01,2010
1468,1219,Mastercard,Debit,5.547E+15,2020-02-01,718,YES,1,22697,2020-02-01,2020
2309,1219,Mastercard,Credit,5.32603E+15,2023-08-01,437,YES,1,18000,2013-03-01,2013
3466,1219,Mastercard,Debit,5.09615E+15,2024-10-01,862,YES,1,32903,2010-06-01,2010
2804,1198,Visa,Debit,4.48987E+15,2021-08-01,547,YES,2,12764,1999-05-01,2010
1388,1198,Mastercard,Credit,5.62173E+15,2022-10-01,60,YES,1,6300,2019-02-01,2019
4660,898,Mastercard,Debit,5.92314E+15,2022-02-01,934,YES,2,7541,2008-09-01,2013
3356,898,Visa,Debit,4.44799E+15,2022-03-01,995,YES,2,1266,2007-06-01,2012
4870,898,Mastercard,Credit,5.00031E+15,2020-04-01,263,NO,1,9500,2014-09-01,2014
3467,882,Mastercard,Debit,5.70731E+15,2020-04-01,203,YES,2,1837,2010-06-01,2010
1079,882,Mastercard,Debit,5.86499E+15,2023-08-01,258,YES,2,17453,2006-02-01,2008
2977,348,Visa,Debit,4.22889E+15,2013-10-01,543,NO,1,28283,2008-05-01,2012
3073,348,Visa,Credit,4.21024E+15,2020-04-01,160,YES,1,13500,2010-05-01,2012
3554,348,Visa,Credit,4.87707E+15,2014-07-01,786,YES,2,13300,2012-06-01,2012
2597,633,Mastercard,Debit,5.55804E+15,2021-09-01,69,YES,2,17941,2009-04-01,2009
3489,1493,Visa,Credit,4.6425E+15,2018-04-01,594,YES,1,14400,2010-06-01,2012
4003,1493,Visa,Credit,4.2444E+15,2020-04-01,120,YES,1,4400,2012-07-01,2012
1469,1493,Mastercard,Credit,5.15744E+15,2020-03-01,657,YES,1,13000,2020-02-01,2020
1774,1493,Visa,Debit,4.07952E+15,2023-04-01,72,YES,2,22701,2020-02-01,2020
1470,1161,Mastercard,Credit,5.59712E+15,2024-08-01,934,NO,1,16100,2020-02-01,2020
1471,1161,Mastercard,Debit,5.80837E+15,2023-09-01,138,YES,2,7629,2020-02-01,2020
2691,217,Mastercard,Debit,5.5655E+15,2022-03-01,430,NO,1,16538,2012-04-01,2012
174,217,Visa,Debit,4.07289E+15,2020-12-01,578,YES,2,22746,2008-01-01,2010
1364,217,Mastercard,Debit,5.16193E+15,2016-07-01,743,YES,1,9737,2016-02-01,2016
1266,217,Mastercard,Credit,5.35936E+15,2019-07-01,428,YES,1,6500,2011-02-01,2014
1267,217,Mastercard,Debit,5.09351E+15,2020-06-01,889,YES,2,2650,2011-02-01,2013
207,217,Visa,Credit,4.40979E+15,2012-05-01,839,YES,2,8200,2009-01-01,2011
5448,217,Amex,Credit,3.73326E+14,2022-01-01,204,YES,2,6200,2006-11-01,2013
5449,1877,Amex,Credit,3.66837E+14,2021-01-01,803,YES,2,22600,2006-11-01,2014
2107,1877,Mastercard,Debit,5.26026E+15,2024-05-01,428,YES,2,6940,2006-03-01,2009
